Symbol,Company_name,Sector,Sub_industry,Indices,Country
MMM,3M,Industrials,Industrial Conglomerates,sp500,USA
ABT,Abbott Laboratories,Health Care,Health Care Equipment,sp500,USA
ABBV,AbbVie,Health Care,Pharmaceuticals,sp500,USA
ABMD,Abiomed,Health Care,Health Care Equipment,sp500,USA
ACN,Accenture,Information Technology,IT Consulting & Other Services,sp500,USA
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,sp500,USA
ADBE,Adobe,Information Technology,Application Software,sp500,USA
AMD,Advanced Micro Devices,Information Technology,Semiconductors,sp500,USA
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,sp500,USA
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,sp500,USA
AFL,Aflac,Financials,Life & Health Insurance,sp500,USA
A,Agilent Technologies,Health Care,Health Care Equipment,sp500,USA
APD,Air Products & Chemicals,Materials,Industrial Gases,sp500,USA
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,sp500,USA
ALK,Alaska Air Group,Industrials,Airlines,sp500,USA
ALB,Albemarle Corporation,Materials,Specialty Chemicals,sp500,USA
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,sp500,USA
ALGN,Align Technology,Health Care,Health Care Supplies,sp500,USA
ALLE,Allegion,Industrials,Building Products,sp500,USA
LNT,Alliant Energy,Utilities,Electric Utilities,sp500,USA
ALL,Allstate Corp,Financials,Property & Casualty Insurance,sp500,USA
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,sp500,USA
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,sp500,USA
MO,Altria Group,Consumer Staples,Tobacco,sp500,USA
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,sp500,USA
AMCR,Amcor,Materials,Paper Packaging,sp500,USA
AEE,Ameren Corp,Utilities,Multi-Utilities,sp500,USA
AAL,American Airlines Group,Industrials,Airlines,sp500,USA
AEP,American Electric Power,Utilities,Electric Utilities,sp500,USA
AXP,American Express,Financials,Consumer Finance,sp500,USA
AIG,American International Group,Financials,Property & Casualty Insurance,sp500,USA
AMT,American Tower,Real Estate,Specialized REITs,sp500,USA
AWK,American Water Works,Utilities,Water Utilities,sp500,USA
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,sp500,USA
ABC,AmerisourceBergen,Health Care,Health Care Distributors,sp500,USA
AME,Ametek,Industrials,Electrical Components & Equipment,sp500,USA
AMGN,Amgen,Health Care,Biotechnology,sp500,USA
APH,Amphenol,Information Technology,Electronic Components,sp500,USA
ADI,Analog Devices,Information Technology,Semiconductors,sp500,USA
ANSS,Ansys,Information Technology,Application Software,sp500,USA
ANTM,Anthem,Health Care,Managed Health Care,sp500,USA
AON,Aon,Financials,Insurance Brokers,sp500,USA
AOS,A. O. Smith,Industrials,Building Products,sp500,USA
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,sp500,USA
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",sp500,USA
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,sp500,USA
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,sp500,USA
ADM,ADM,Consumer Staples,Agricultural Products,sp500,USA
ANET,Arista Networks,Information Technology,Communications Equipment,sp500,USA
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,sp500,USA
AIZ,Assurant,Financials,Multi-line Insurance,sp500,USA
T,AT&T,Communication Services,Integrated Telecommunication Services,sp500,USA
ATO,Atmos Energy,Utilities,Gas Utilities,sp500,USA
ADSK,Autodesk,Information Technology,Application Software,sp500,USA
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,sp500,USA
AZO,AutoZone,Consumer Discretionary,Specialty Stores,sp500,USA
AVB,AvalonBay Communities,Real Estate,Residential REITs,sp500,USA
AVY,Avery Dennison,Materials,Paper Packaging,sp500,USA
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,sp500,USA
