Symbol,Name,Market Cap,Price,Circulating Supply,Cryptocurrency
BTC,Bitcoin,"$119,928,830,414",$7192.77,16673525,coin
ETH,Ethereum,"$30,445,727,882",$318.35,95636023,coin
BCH,Bitcoin Cash,"$12,893,939,363",$768.62,16775550,coin
LAK,Lakran,$100,$0.01,18400000,coin
XRP,Ripple,"$8,343,542,375",$0.216538,38531538922,coin
SHIB,SHIBA,,,,coin
LTC,Litecoin,"$3,480,603,868",$64.74,53759232,coin
DASH,Dash,"$2,612,599,061",$340.19,7679710,coin
XEM,NEM,"$2,072,880,000",$0.230320,8999999999,coin
NEO,NEO,"$2,007,375,500",$30.88,65000000,coin
XMR,Monero,"$1,811,246,829",$118.13,15333177,coin
MIOTA,IOTA,"$1,561,626,278",$0.561831,2779530283,coin
ETC,Ethereum Classic,"$1,478,771,570",$15.20,97300406,coin
QTUM,Qtum,"$900,634,944",$12.23,73650484,coin
ADA,Cardano,"$773,500,444",$0.029834,25927070538,coin
LSK,Lisk,"$697,718,444",$6.08,114680875,coin
ZEC,Zcash,"$672,246,433",$259.74,2588181,coin
XLM,Stellar Lumens,"$614,261,682",$0.037030,16588351568,coin
BCC,BitConnect,"$592,687,655",$277.20,2138092,coin
HSR,Hshare,"$481,316,098",$11.40,42231824,coin
WAVES,Waves,"$478,375,000",$4.78,100000000,coin
STRAT,Stratis,"$347,729,495",$3.53,98616171,coin
ARK,Ark,"$318,253,009",$3.25,97981284,coin
KMD,Komodo,"$250,292,373",$2.48,100945510,coin
BCN,Bytecoin,"$249,928,501",$0.001364,"1,83254E+11",coin
STEEM,Steem,"$232,320,616",$0.944199,246050479,coin
DCR,Decred,"$208,248,341",$33.97,6131173,coin
BTS,BitShares,"$204,337,272",$0.078539,2601730000,coin
ETN,Electroneum,"$203,516,599",$0.039788,5114998885,coin
PIVX,PIVX,"$194,675,495",$3.56,54689966,coin
VTC,Vertcoin,"$186,531,992",$4.54,41089600,coin
FCT,Factom,"$182,384,349",$20.86,8745102,coin
BTCD,BitcoinDark,"$162,464,945",$126.05,1288862,coin
MONA,MonaCoin,"$159,806,791",$2.89,55225000,coin
DOGE,Dogecoin,"$148,728,249",$0.001330,"1,11867E+11",coin
SC,Siacoin,"$142,773,618",$0.004644,30746255097,coin
ETP,Metaverse ETP,"$131,903,810",$3.63,36321429,coin
GBYTE,Byteball Bytes,"$128,272,725",$198.80,645222,coin
BLOCK,Blocknet,"$127,381,351",$26.11,4878175,coin
GAME,GameCredits,"$124,072,614",$1.93,64355352,coin
SYS,Syscoin,"$123,651,800",$0.233849,528767710,coin
XVG,Verge,"$107,145,456",$0.007537,14215457410,coin
GXS,GXShares,"$102,645,048",$2.53,40510000,coin
DGB,DigiByte,"$98,183,887",$0.010463,9383913517,coin
LKK,Lykke,"$96,344,199",$0.368605,261375181,coin
MNX,MinexCoin,"$87,525,230",$6.73,13000000,coin
PURA,Pura,"$79,700,162",$0.464078,171738722,coin
VEN,VeChain,"$72,528,195",$0.261681,277162633,coin
NXT,Nxt,"$70,928,896",$0.071000,998999942,coin
